!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Cleric*,Druid*;Guidance;0;Divination;Light;1 reaction;;;Instantaneous;V, S;Cleric, Druid;#!spells/Cantrips/Guidance.md
no conc,no concentration,no ritual,Bard*,Cleric*,Wizard*;Light;0;Evocation;Light;1 action;;;1 hour;V, S;Bard, Cleric, Warlock (Aeonian Flame), Wizard;#!spells/Cantrips/Light.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Wizard*;Mending;0;Transmutation;Aether;1 minute;;;Instantaneous / 1 minute;V, S;Bard, Cleric, Druid, Wizard;#!spells/Cantrips/Mending.md
no conc,no concentration,no ritual,Cleric*,Druid*;Resistance;0;Abjuration;Earth;1 reaction;;;Instantaneous;V, S;Cleric, Druid, Sorcerer (Earth Elemental), Warlock (Void);#!spells/Cantrips/Resistance.md
no conc,no concentration,no ritual,Cleric*;Sacred Flame;0;Evocation;Light;1 action;;;Instantaneous;V, S;Cleric, Warlock (Aeonian Flame);#!spells/Cantrips/Sacred Flame.md
no conc,no concentration,no ritual,Cleric*;Spare the Dying;0;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Cleric, Sorcerer (Angel), Warlock (Undying);#!spells/Cantrips/Spare the Dying.md
no conc,no concentration,no ritual,Cleric*;Thaumaturgy;0;Transmutation;Aether;1 action;;;Up to 1 minute;V;Cleric, Sorcerer (Roaring Rampage), Warlock (Great Old One);#!spells/Cantrips/Thaumaturgy.md
no conc,no concentration,no ritual,Cleric*,Warlock*,Wizard*;Toll the Dead;0;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric, Warlock, Wizard;#!spells/Cantrips/Toll the Dead.md
no conc,no concentration,no ritual,Cleric*;Virtue;0;Abjuration;Light;1 action;;;1 minute;V, S;Cleric;#!spells/Cantrips/Virtue.md
no conc,no concentration,no ritual,Cleric*;Word of Radiance;0;Evocation;Light;1 action;;;Instantaneous;V, F;Cleric, Sorcerer (Angel);#!spells/Cantrips/Word of Radiance.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*;Animal Friendship;1;Enchantment (Charm);Light;1 action;;;24 hours;V, S, F, M (some food, which the target consumes);Bard, Cleric (Nature), Druid, Ranger;#!spells/Level1/Animal Friendship.md
no ritual,Bard*,Cleric*;Bane;1;Evocation;Death;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric, Cleric (Grave), Paladin (Vengeance), Sorcerer (Efreeti), Warlock (Fiend), Warlock (Undying), Warlock (Void);#!spells/Level1/Bane.md
no ritual,Cleric*,Paladin*;Bless;1;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric, Cleric (Life), Cleric (Preservation), Paladin;#!spells/Level1/Bless.md
