!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Druid*,Wizard*;Control Flames;0;Transmutation;Fire;1 action;;;Instantaneous or 1 hour (see below);S;Druid, Wizard;#!spells/Cantrips/Control Flames.md
no ritual,Druid*,Warlock*,Wizard*;Create Bonfire;0;Evocation;Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Create Bonfire.md
no conc,no concentration,no ritual,Druid*;Druidcraft;0;Transmutation;Light;1 action;;;Instantaneous;V, S;Druid, Warlock (Archfey);#!spells/Cantrips/Druidcraft.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Frostbite;0;Evocation;Water;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Frostbite.md
no conc,no concentration,no ritual,Cleric*,Druid*;Guidance;0;Divination;Light;1 reaction;;;Instantaneous;V, S;Cleric, Druid;#!spells/Cantrips/Guidance.md
no conc,no concentration,no ritual,Druid*,Wizard*;Gust;0;Transmutation;Air;1 action;;;Instantaneous;V, S;Druid, Wizard;#!spells/Cantrips/Gust.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Infestation;0;Conjuration (Summoning);Death;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Infestation.md
no conc,no concentration,no ritual,Druid*,Warlock*;Magic Stone;0;Transmutation;Earth;1 bonus action;;;1 minute;V, S, M (one to three pebbles);Druid, Sorcerer (Earth Elemental), Warlock;#!spells/Cantrips/Magic Stone.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Wizard*;Mending;0;Transmutation;Aether;1 minute;;;Instantaneous / 1 minute;V, S;Bard, Cleric, Druid, Wizard;#!spells/Cantrips/Mending.md
no conc,no concentration,no ritual,Druid*, Wizard*;Mold Earth;0;Transmutation;Earth;1 action;;;Instantaneous or 1 hour (see below);S;Druid,  Wizard;#!spells/Cantrips/Mold Earth.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Poison Spray;0;Conjuration (Creation);Darkness;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Poison Spray.md
no conc,no concentration,no ritual,Druid*;Primal Savagery;0;Transmutation;Earth;1 action;;;Instantaneous;S;Druid;#!spells/Cantrips/Primal Savagery.md
no conc,no concentration,no ritual,Druid*;Produce Flame;0;Evocation;Fire;1 action;;;10 minutes;V, S;Druid, Sorcerer (Desire Demon), Sorcerer (Fire Elemental), Sorcerer (Efreeti);#!spells/Cantrips/Produce Flame.md
no conc,no concentration,no ritual,Cleric*,Druid*;Resistance;0;Abjuration;Earth;1 reaction;;;Instantaneous;V, S;Cleric, Druid, Sorcerer (Earth Elemental), Warlock (Void);#!spells/Cantrips/Resistance.md
no conc,no concentration,no ritual,Druid*,Wizard*;Shape Water;0;Transmutation;Water;1 action;;;Instantaneous or 1 hour (see below);S;Druid, Wizard;#!spells/Cantrips/Shape Water.md
no conc,no concentration,no ritual,Druid*;Shillelagh;0;Transmutation;Earth;1 bonus action;;;1 minute;V, S, M (a club or quarterstaff);Druid;#!spells/Cantrips/Shillelagh.md
no conc,no concentration,no ritual,Druid*;Thorn Whip;0;Transmutation;Earth;1 action;;;Instantaneous;V, S;Druid, Warlock (Archfey);#!spells/Cantrips/Thorn Whip.md
