!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*,Aether*,level 1,level1,lv1,lvl1;Absorb Elements;1;Abjuration;Aether;1 reaction, which you take when you take acid, cold, ethereal, fire, lightning, shadow or sonic damage;Optional;;1 round / Concentration, up to 2 rounds;S;Druid, Ranger, Wizard;#!spells/Level1/Absorb Elements.md
no conc,no concentration,Ranger*,Wizard*,Aether*,level 1,level1,lv1,lvl1;Alarm;1;Abjuration;Aether;1 minute;;Ritual;8 hours;V, S, F;Ranger, Wizard;#!spells/Level1/Alarm.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*,Light*,level 1,level1,lv1,lvl1;Animal Friendship;1;Enchantment (Charm);Light;1 action;;;24 hours;V, S, F, M (some food, which the target consumes);Bard, Cleric (Nature), Druid, Ranger;#!spells/Level1/Animal Friendship.md
no conc,no concentration,no ritual,Ranger*,Paladin*,Wizard*,Air*,level 1,level1,lv1,lvl1;Attract or Repulse Missiles;1;Transmutation;Air;1 action;;;1 round;S;Ranger, Paladin, Wizard;#!spells/Level1/Attract or Repulse Missiles.md
no ritual,Druid*,Ranger*,Fire*,level 1,level1,lv1,lvl1;Beast Bond;1;Divination;Fire;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Druid, Ranger;#!spells/Level1/Beast Bond.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Light*,level 1,level1,lv1,lvl1;Cure Wounds;1;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Bard, Cleric, Cleric (Life), Cleric (Preservation), Druid, Paladin, Ranger, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level1/Cure Wounds.md
Bard*,Cleric*,Druid*,Paladin*,Ranger*,Sorcerer*,Wizard*,Aether*,level 1,level1,lv1,lvl1;Detect Magic;1;Divination;Aether;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Bard, Cleric, Cleric (Arcana), Druid, Paladin, Ranger, Sorcerer, Warlock (Seeker), Wizard;#!spells/Level1/Detect Magic.md
Cleric*,Druid*,Paladin*,Ranger*,Darkness*,level 1,level1,lv1,lvl1;Detect Poison and Disease;1;Divination;Darkness;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S, F;Cleric, Druid, Paladin, Ranger, Sorcerer (Darkness Elemental);#!spells/Level1/Detect Poison and Disease.md
no conc,no concentration,no ritual,Ranger*,Earth*,level 1,level1,lv1,lvl1;Ensnaring Strike;1;Conjuration (Creation);Earth;1 bonus action;;;1 minute;V, S;Paladin (Ancients), Ranger;#!spells/Level1/Ensnaring Strike.md
no ritual,Druid*,Ranger*,Wizard*,Air*,level 1,level1,lv1,lvl1;Fog Cloud;1;Conjuration (Creation);Air;1 action;Concentration;;1 hour;V, S;Cleric (Tempest), Druid, Ranger, Warlock (Void), Wizard;#!spells/Level1/Fog Cloud.md
no conc,no concentration,no ritual,Druid*,Ranger*,Light*,level 1,level1,lv1,lvl1;Goodberry;1;Transmutation;Light;1 action;;;Instantaneous;V, S, F;Druid, Ranger;#!spells/Level1/Goodberry.md
no conc,no concentration,no ritual,Ranger*,Earth*,level 1,level1,lv1,lvl1;Hail of Thorns;1;Conjuration (Creation);Earth;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Ranger;#!spells/Level1/Hail of Thorns.md
no ritual,Ranger*,Fire*,level 1,level1,lv1,lvl1;Hunter's Mark;1;Divination;Fire;1 bonus action;Concentration;;Concentration, up to 1 hour;V;Paladin (Vengeance), Ranger;#!spells/Level1/Hunter's Mark.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*,Air*,level 1,level1,lv1,lvl1;Jump;1;Transmutation;Air;1 action;;;1 minute;V, S, F;Druid, Ranger, Wizard;#!spells/Level1/Jump.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*,Wizard*,Air*,level 1,level1,lv1,lvl1;Longstrider;1;Transmutation;Air;1 action;;;1 hour;V, S, F;Bard, Druid, Ranger, Wizard;#!spells/Level1/Longstrider.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*,Darkness*,level 1,level1,lv1,lvl1;Snare;1;Transmutation;Darkness;1 minute;;;1 day;V, S, M (25 feet of rope, which the spell consumes);Druid, Ranger, Wizard;#!spells/Level1/Snare.md
no conc,no concentration,Bard*,Druid*,Ranger*,Fire*,level 1,level1,lv1,lvl1;Speak with Animals;1;Divination;Fire;1 action;;Ritual;10 minutes;V, S;Bard, Cleric (Nature), Druid, Paladin (Ancients), Ranger;#!spells/Level1/Speak with Animals.md
no conc,no concentration,no ritual,Bard*,Ranger*,Light*,level 1,level1,lv1,lvl1;Sudden Awakening;1;Enchantment (Compulsion);Light;1 bonus action;;;Instantaneous;V;Bard, Ranger, Sorcerer (Dream Walker);#!spells/Level1/Sudden Awakening.md
no conc,no concentration,Druid*,Ranger*,Fire*,level 1,level1,lv1,lvl1;Wild Cunning;1;Conjuration (Calling);Fire;10 minutes;;Ritual;Instantaneous;V, S, F;Druid, Ranger;#!spells/Level1/Wild Cunning.md
no conc,no concentration,no ritual,Ranger*,Air*,level 1,level1,lv1,lvl1;Zephyr Strike;1;Transmutation;Air;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;Ranger, Sorcerer (Air Elemental);#!spells/Level1/Zephyr Strike.md
no conc,no concentration,Bard*,Druid*,Ranger*,Fire*,level 2,level2,lv2,lvl2;Animal Messenger;2;Enchantment (Compulsion);Fire;1 action;;Ritual;24 hours;V, S, F;Bard, Druid, Ranger;#!spells/Level2/Animal Messenger.md
no conc,no concentration,no ritual,Druid*,Ranger*,Earth*,level 2,level2,lv2,lvl2;Barkskin;2;Transmutation;Earth;1 action;;;1 hour;V, S, F;Cleric (Nature), Druid, Druid (Forest), Ranger;#!spells/Level2/Barkskin.md
Druid*,Ranger*,Fire*,level 2,level2,lv2,lvl2;Beast Sense;2;Divination;Fire;1 action;Concentration;Ritual;Concentration, up to 1 hour;S;Druid, Ranger;#!spells/Level2/Beast Sense.md
no conc,no concentration,no ritual,Ranger*,Air*,level 2,level2,lv2,lvl2;Cordon of Arrows;2;Transmutation;Air;1 action;;;8 hours;V, S, M (four or more arrows or bolts, which the spell consumes);Ranger;#!spells/Level2/Cordon of Arrows.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*,Light*,level 2,level2,lv2,lvl2;Darkvision;2;Transmutation;Light;1 action;;;8 hours;V, S, F;Druid, Ranger, Wizard;#!spells/Level2/Darkvision.md
no conc,no concentration,no ritual,Cleric*,Druid*,Ranger*,Aether*,level 2,level2,lv2,lvl2;Find Traps;2;Divination;Aether;1 action;;;Instantaneous;V, S;Cleric, Druid, Ranger;#!spells/Level2/Find Traps.md
no conc,no concentration,no ritual,Druid*,Ranger*,Light*,level 2,level2,lv2,lvl2;Healing Spirit;2;Conjuration (Summoning);Light;1 bonus action;;;30 seconds;V, S;Druid, Ranger;#!spells/Level2/Healing Spirit.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Light*,level 2,level2,lv2,lvl2;Lesser Restoration;2;Abjuration;Light;1 action;;;Instantaneous;V, S, F;Bard, Cleric, Cleric (Life), Cleric (Preservation), Druid, Paladin, Paladin (Devotion), Ranger, Warlock (Aeonian Flame);#!spells/Level2/Lesser Restoration.md
no conc,no concentration,Bard*,Druid*,Ranger*,Earth*,level 2,level2,lv2,lvl2;Locate Animals or Plants;2;Divination;Earth;1 action;;Ritual;Instantaneous;V, S, F;Bard, Druid, Ranger;#!spells/Level2/Locate Animals or Plants.md
no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Wizard*,Water*,level 2,level2,lv2,lvl2;Locate Object;2;Divination;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Bard, Cleric, Druid, Paladin, Ranger, Wizard, Warlock (Seeker);#!spells/Level2/Locate Object.md
no ritual,Druid*,Ranger*,Earth*,level 2,level2,lv2,lvl2;Pass Without Trace;2;Abjuration;Earth;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Cleric (Trickery), Druid, Druid (Grassland), Ranger;#!spells/Level2/Pass Without Trace.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Ranger*,Light*,level 2,level2,lv2,lvl2;Protection from Poison;2;Abjuration;Light;1 action;;;1 hour;V, S;Cleric, Cleric (Protection), Druid, Paladin, Ranger;#!spells/Level2/Protection from Poison.md
Bard*,Cleric*,Ranger*,Darkness*,level 2,level2,lv2,lvl2;Silence;2;Illusion (Glamer);Darkness;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Bard, Cleric, Ranger, Druid (Desert), Warlock (Undying), Warlock (Void);#!spells/Level2/Silence.md
no ritual,Druid*,Ranger*,Earth*,level 2,level2,lv2,lvl2;Spike Growth;2;Transmutation;Earth;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Cleric (Nature), Druid, Druid (Arctic), Druid (Mountain), Ranger, Warlock (Archfey);#!spells/Level2/Spike Growth.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Ranger*,Light*,level 3,level3,lv3,lvl3;Daylight;3;Evocation;Light;1 action;;;1 hour;V, S;Cleric, Cleric (Light), Druid, Druid (Grassland), Paladin, Ranger, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level3/Daylight.md
