!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Blade Ward;0;Abjuration;Earth;1 action;;;1 round;V, S;Bard, Warlock, Wizard;#!spells/Cantrips/Blade Ward.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Booming Blade;0;Evocation;Air;1 action;;;1 round;V, M (a weapon);Warlock, Wizard;#!spells/Cantrips/Booming Blade.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Chill Touch;0;Necromancy (Black);Death;1 action;;;1 round;V, S;Warlock, Wizard;#!spells/Cantrips/Chill Touch.md
no ritual,Druid*,Warlock*,Wizard*;Create Bonfire;0;Evocation;Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Create Bonfire.md
no conc,no concentration,no ritual,Warlock*;Eldritch Blast;0;Evocation;Aether;1 action;;;Instantaneous;V, S;Warlock;#!spells/Cantrips/Eldritch Blast.md
no ritual,Bard*,Warlock*,Wizard*;Friends;0;Enchantment (Charm);Darkness;1 action;Concentration;;Concentration, up to 1 minute;S, M (a small amount of makeup applied to the face as this spell is cast);Bard, Warlock, Wizard;#!spells/Cantrips/Friends.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Frostbite;0;Evocation;Water;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Frostbite.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Green-Flame Blade;0;Evocation;Fire;1 action;;;1 round;V, M (a weapon);Warlock, Wizard;#!spells/Cantrips/Green-Flame Blade.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Infestation;0;Conjuration (Summoning);Death;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Infestation.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Lightning Lure;0;Evocation;Air;1 action;;;Instantaneous;V, S;Warlock, Wizard;#!spells/Cantrips/Lightning Lure.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Mage Hand;0;Conjuration (Creation);Aether;1 action;;;1 minute;V, S;Bard, Warlock, Wizard;#!spells/Cantrips/Mage Hand.md
no conc,no concentration,no ritual,Druid*,Warlock*;Magic Stone;0;Transmutation;Earth;1 bonus action;;;1 minute;V, S, M (one to three pebbles);Druid, Sorcerer (Earth Elemental), Warlock;#!spells/Cantrips/Magic Stone.md
