!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Wizard*,Earth*,level 0,level0,lv0,lvl0;Acid Splash;0;Conjuration (Creation);Earth;1 action;;;Instantaneous;V, S;Wizard;#!spells/Cantrips/Acid Splash.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*,Earth*,level 0,level0,lv0,lvl0;Blade Ward;0;Abjuration;Earth;1 action;;;1 round;V, S;Bard, Warlock, Wizard;#!spells/Cantrips/Blade Ward.md
no conc,no concentration,no ritual,Warlock*,Wizard*,Air*,level 0,level0,lv0,lvl0;Booming Blade;0;Evocation;Air;1 action;;;1 round;V, M (a weapon);Warlock, Wizard;#!spells/Cantrips/Booming Blade.md
no conc,no concentration,no ritual,Warlock*,Wizard*,Death*,level 0,level0,lv0,lvl0;Chill Touch;0;Necromancy (Black);Death;1 action;;;1 round;V, S;Warlock, Wizard;#!spells/Cantrips/Chill Touch.md
no conc,no concentration,no ritual,Druid*,Wizard*,Fire*,level 0,level0,lv0,lvl0;Control Flames;0;Transmutation;Fire;1 action;;;Instantaneous or 1 hour (see below);S;Druid, Wizard;#!spells/Cantrips/Control Flames.md
no ritual,Druid*,Warlock*,Wizard*,Fire*,level 0,level0,lv0,lvl0;Create Bonfire;0;Evocation;Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Create Bonfire.md
no ritual,Bard*,Wizard*,Light*,level 0,level0,lv0,lvl0;Dancing Lights;0;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Warlock (Seeker), Wizard;#!spells/Cantrips/Dancing Lights.md
no conc,no concentration,no ritual,Wizard*,Fire*,level 0,level0,lv0,lvl0;Fire Bolt;0;Evocation;Fire;1 action;;;Instantaneous;V, S;Wizard;#!spells/Cantrips/Fire Bolt.md
no ritual,Bard*,Warlock*,Wizard*,Darkness*,level 0,level0,lv0,lvl0;Friends;0;Enchantment (Charm);Darkness;1 action;Concentration;;Concentration, up to 1 minute;S, M (a small amount of makeup applied to the face as this spell is cast);Bard, Warlock, Wizard;#!spells/Cantrips/Friends.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*,Water*,level 0,level0,lv0,lvl0;Frostbite;0;Evocation;Water;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Frostbite.md
no conc,no concentration,no ritual,Warlock*,Wizard*,Fire*,level 0,level0,lv0,lvl0;Green-Flame Blade;0;Evocation;Fire;1 action;;;1 round;V, M (a weapon);Warlock, Wizard;#!spells/Cantrips/Green-Flame Blade.md
no conc,no concentration,no ritual,Druid*,Wizard*,Air*,level 0,level0,lv0,lvl0;Gust;0;Transmutation;Air;1 action;;;Instantaneous;V, S;Druid, Wizard;#!spells/Cantrips/Gust.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*,Death*,level 0,level0,lv0,lvl0;Infestation;0;Conjuration (Summoning);Death;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Infestation.md
no conc,no concentration,no ritual,Bard*,Cleric*,Wizard*,Light*,level 0,level0,lv0,lvl0;Light;0;Evocation;Light;1 action;;;1 hour;V, S;Bard, Cleric, Warlock (Aeonian Flame), Wizard;#!spells/Cantrips/Light.md
