!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;!href
no conc,no concentration,no ritual;Absorb Elements;1;Abjuration;Aether;1 reaction, which you take when you take acid, cold, ethereal, fire, lightning, shadow or sonic damage;Optional;;1 round / Concentration, up to 2 rounds;S;#!spells/Level1/Absorb Elements.md
no conc,no concentration;Alarm;1;Abjuration;Aether;1 minute;;Ritual;8 hours;V, S, F;#!spells/Level1/Alarm.md
no conc,no concentration,no ritual;Animal Friendship;1;Enchantment (Charm);Light;1 action;;;24 hours;V, S, F, M (some food, which the target consumes);#!spells/Level1/Animal Friendship.md
no conc,no concentration,no ritual;Attract or Repulse Missiles;1;Transmutation;Air;1 action;;;1 round;S;#!spells/Level1/Attract or Repulse Missiles.md
no ritual;Beast Bond;1;Divination;Fire;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;#!spells/Level1/Beast Bond.md
no conc,no concentration,no ritual;Cure Wounds;1;Necromancy (White);Light;1 action;;;Instantaneous;V, S;#!spells/Level1/Cure Wounds.md
;Detect Magic;1;Divination;Aether;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;#!spells/Level1/Detect Magic.md
;Detect Poison and Disease;1;Divination;Darkness;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S, F;#!spells/Level1/Detect Poison and Disease.md
no conc,no concentration,no ritual;Ensnaring Strike;1;Conjuration (Creation);Earth;1 bonus action;;;1 minute;V, S;#!spells/Level1/Ensnaring Strike.md
no ritual;Fog Cloud;1;Conjuration (Creation);Air;1 action;Concentration;;1 hour;V, S;#!spells/Level1/Fog Cloud.md
no conc,no concentration,no ritual;Goodberry;1;Transmutation;Light;1 action;;;Instantaneous;V, S, F;#!spells/Level1/Goodberry.md
no conc,no concentration,no ritual;Hail of Thorns;1;Conjuration (Creation);Earth;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;#!spells/Level1/Hail of Thorns.md
no ritual;Hunter's Mark;1;Divination;Fire;1 bonus action;Concentration;;Concentration, up to 1 hour;V;#!spells/Level1/Hunters Mark.md
no conc,no concentration,no ritual;Jump;1;Transmutation;Air;1 action;;;1 minute;V, S, F;#!spells/Level1/Jump.md
no conc,no concentration,no ritual;Longstrider;1;Transmutation;Air;1 action;;;1 hour;V, S, F;#!spells/Level1/Longstrider.md
no conc,no concentration,no ritual;Snare;1;Transmutation;Darkness;1 minute;;;1 day;V, S, M (25 feet of rope, which the spell consumes);#!spells/Level1/Snare.md
no conc,no concentration;Speak with Animals;1;Divination;Fire;1 action;;Ritual;10 minutes;V, S;#!spells/Level1/Speak with Animals.md
no conc,no concentration,no ritual;Sudden Awakening;1;Enchantment (Compulsion);Light;1 bonus action;;;Instantaneous;V;#!spells/Level1/Sudden Awakening.md
no conc,no concentration;Wild Cunning;1;Conjuration (Calling);Fire;10 minutes;;Ritual;Instantaneous;V, S, F;#!spells/Level1/Wild Cunning.md
no conc,no concentration,no ritual;Zephyr Strike;1;Transmutation;Air;1 bonus action;Optional;;1 round / Concentration, up to 1 minute;V;#!spells/Level1/Zephyr Strike.md
no conc,no concentration;Animal Messenger;2;Enchantment (Compulsion);Fire;1 action;;Ritual;24 hours;V, S, F;#!spells/Level2/Animal Messenger.md
no conc,no concentration,no ritual;Barkskin;2;Transmutation;Earth;1 action;;;1 hour;V, S, F;#!spells/Level2/Barkskin.md
;Beast Sense;2;Divination;Fire;1 action;Concentration;Ritual;Concentration, up to 1 hour;S;#!spells/Level2/Beast Sense.md
no conc,no concentration,no ritual;Cordon of Arrows;2;Transmutation;Air;1 action;;;8 hours;V, S, M (four or more arrows or bolts, which the spell consumes);#!spells/Level2/Cordon of Arrows.md
no conc,no concentration,no ritual;Darkvision;2;Transmutation;Light;1 action;;;8 hours;V, S, F;#!spells/Level2/Darkvision.md
no conc,no concentration,no ritual;Find Traps;2;Divination;Aether;1 action;;;Instantaneous;V, S;#!spells/Level2/Find Traps.md
no conc,no concentration,no ritual;Healing Spirit;2;Conjuration (Summoning);Light;1 bonus action;;;30 seconds;V, S;#!spells/Level2/Healing Spirit.md
